Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,INTFR,784
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,INTGRNL,-514
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,INTIFA2,232
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,INTIRL,-312
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,INTNED,472
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,INTNEM,262
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,INTNSL,1398
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,INTVKL,696
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,NPSHYD,444
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,NUCLEAR,4203
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,OCGT,1
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,OIL,0
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,OTHER,290
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,PS,-1034
FUELHH,2025-02-06T01:30:00Z,2025-02-06T01:00:00Z,2025-02-06,3,WIND,4068
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,BIOMASS,3020
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,CCGT,15836
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,COAL,0
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,INTELEC,0
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,INTEW,-384
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,INTFR,486
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,INTGRNL,-514
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,INTIFA2,112
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,INTIRL,-312
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,INTNED,458
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,INTNEM,180
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,INTNSL,1398
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,INTVKL,696
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,NPSHYD,531
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,NUCLEAR,4186
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,OCGT,7
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,OIL,0
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,OTHER,360
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,PS,-956
FUELHH,2025-02-06T01:00:00Z,2025-02-06T00:30:00Z,2025-02-06,2,WIND,4143
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,BIOMASS,3019
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,CCGT,15811
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,COAL,0
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,INTELEC,0
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,INTEW,-504
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,INTFR,442
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,INTGRNL,-514
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,INTIFA2,104
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,INTIRL,-312
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,INTNED,454
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,INTNEM,178
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,INTNSL,1398
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,INTVKL,696
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,NPSHYD,521
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,NUCLEAR,4185
FUELHH,2025-02-06T00:30:00Z,2025-02-06T00:00:00Z,2025-02-06,1,OCGT,33
